E_B#3 / keV	N_B#3	E_B#4 / keV	N_B#4
552,9	97	552,9	291
553,7	101	553,7	294
554,5	89	554,5	333
555,3	100	555,3	266
556,2	88	556,2	268
557,0	105	557,0	259
557,8	89	557,8	266
558,6	74	558,6	340
559,4	81	559,4	321
560,2	83	560,2	287
561,0	79	561,0	306
561,8	70	561,8	297
562,7	80	562,7	339
563,5	98	563,5	313
564,3	92	564,3	280
565,1	62	565,1	354
565,9	85	565,9	337
566,7	74	566,7	350
567,5	80	567,5	344
568,4	78	568,4	355
569,2	78	569,2	372
570,0	88	570,0	354
570,8	76	570,8	401
571,6	91	571,6	401
572,4	66	572,4	405
573,2	65	573,2	446
574,0	78	574,0	455
574,9	84	574,9	481
575,7	75	575,7	482
576,5	80	576,5	492
577,3	92	577,3	520
578,1	70	578,1	586
578,9	73	578,9	598
579,7	86	579,7	573
580,5	81	580,5	608
581,4	71	581,4	606
582,2	92	582,2	684
583,0	68	583,0	700
583,8	66	583,8	723
584,6	73	584,6	691
585,4	86	585,4	751
586,2	79	586,2	784
587,1	95	587,1	831
587,9	85	587,9	829
588,7	66	588,7	897
589,5	71	589,5	948
590,3	70	590,3	948
591,1	66	591,1	957
591,9	67	591,9	979
592,7	94	592,7	965
593,6	79	593,6	1084
594,4	77	594,4	1113
595,2	77	595,2	1093
596,0	85	596,0	1216
596,8	90	596,8	1227
597,6	71	597,6	1275
598,4	77	598,4	1255
599,3	80	599,3	1302
600,1	98	600,1	1403
600,9	74	600,9	1332
601,7	94	601,7	1372
602,5	78	602,5	1521
603,3	95	603,3	1426
604,1	87	604,1	1525
604,9	106	604,9	1464
605,8	113	605,8	1456
606,6	96	606,6	1439
607,4	127	607,4	1524
608,2	133	608,2	1504
609,0	128	609,0	1456
609,8	128	609,8	1572
610,6	153	610,6	1549
611,5	166	611,5	1494
612,3	157	612,3	1435
613,1	174	613,1	1442
613,9	192	613,9	1437
614,7	205	614,7	1420
615,5	234	615,5	1445
616,3	229	616,3	1359
617,1	251	617,1	1423
618,0	289	618,0	1328
618,8	312	618,8	1304
619,6	331	619,6	1271
620,4	351	620,4	1235
621,2	360	621,2	1205
622,0	433	622,0	1193
622,8	476	622,8	1139
623,7	490	623,7	1154
624,5	575	624,5	1132
625,3	582	625,3	1065
626,1	681	626,1	1123
626,9	667	626,9	1021
627,7	780	627,7	971
628,5	812	628,5	941
629,3	852	629,3	862
630,2	957	630,2	878
631,0	904	631,0	798
631,8	1080	631,8	765
632,6	1108	632,6	791
633,4	1179	633,4	714
634,2	1235	634,2	751
635,0	1318	635,0	659
635,8	1471	635,8	662
636,7	1534	636,7	605
637,5	1518	637,5	609
638,3	1666	638,3	578
639,1	1717	639,1	536
639,9	1826	639,9	532
640,7	2007	640,7	497
641,5	1939	641,5	454
642,4	2012	642,4	470
643,2	2192	643,2	386
644,0	2329	644,0	413
644,8	2334	644,8	375
645,6	2562	645,6	398
646,4	2583	646,4	373
647,2	2743	647,2	368
648,0	2765	648,0	342
648,9	2884	648,9	333
649,7	2965	649,7	339
650,5	3054	650,5	307
651,3	2974	651,3	315
652,1	3076	652,1	300
652,9	3207	652,9	277
653,7	3200	653,7	306
654,6	3385	654,6	292
655,4	3457	655,4	297
656,2	3431	656,2	288
657,0	3546	657,0	280
657,8	3555	657,8	269
658,6	3576	658,6	267
659,4	3481	659,4	279
660,2	3523	660,2	254
661,1	3429	661,1	284
661,9	3656	661,9	271
662,7	3703	662,7	255
663,5	3501	663,5	267
664,3	3617	664,3	293
665,1	3523	665,1	249
665,9	3499	665,9	282
666,8	3400	666,8	237
667,6	3327	667,6	254
668,4	3248	668,4	255
669,2	3160	669,2	246
670,0	3080	670,0	268
670,8	3128	670,8	274
671,6	3096	671,6	264
672,4	2985	672,4	268
673,3	2875	673,3	263
674,1	2783	674,1	263
674,9	2760	674,9	253
675,7	2651	675,7	271
676,5	2640	676,5	229
677,3	2530	677,3	291
678,1	2308	678,1	238
678,9	2242	678,9	230
679,8	2200	679,8	283
680,6	2107	680,6	250
681,4	1982	681,4	279
682,2	1871	682,2	259
683,0	1807	683,0	252
683,8	1667	683,8	252
684,6	1634	684,6	240
685,5	1486	685,5	241
686,3	1451	686,3	274
687,1	1306	687,1	241
687,9	1224	687,9	226
688,7	1148	688,7	217
689,5	1040	689,5	267
690,3	989	690,3	216
691,1	899	691,1	244
692,0	876	692,0	251
692,8	834	692,8	254
693,6	729	693,6	231
694,4	653	694,4	255
695,2	625	695,2	260
696,0	599	696,0	239
696,8	512	696,8	240
697,7	447	697,7	237
698,5	451	698,5	249
699,3	399	699,3	219
700,1	358	700,1	249
700,9	318	700,9	255
701,7	305	701,7	257
702,5	245	702,5	229
703,3	232	703,3	239
704,2	195	704,2	250
705,0	217	705,0	241
705,8	174	705,8	257
706,6	163	706,6	239
707,4	127	707,4	251
708,2	129	708,2	238
709,0	111	709,0	251
709,9	107	709,9	241
710,7	70	710,7	246
711,5	75	711,5	260
712,3	70	712,3	235
713,1	65	713,1	243
713,9	55	713,9	248
714,7	42	714,7	262
715,5	39	715,5	231
716,4	34	716,4	230
717,2	32	717,2	244
718,0	24	718,0	233
718,8	32	718,8	232
719,6	18	719,6	242
720,4	21	720,4	259
721,2	19	721,2	230
722,0	17	722,0	252
722,9	18	722,9	247
723,7	18	723,7	255
724,5	19	724,5	270
725,3	15	725,3	254
726,1	11	726,1	258
726,9	14	726,9	264
727,7	11	727,7	254
728,6	15	728,6	274
729,4	5	729,4	242
730,2	6	730,2	264
731,0	10	731,0	274
731,8	6	731,8	249
732,6	7	732,6	266
733,4	5	733,4	271
734,2	16	734,2	258
735,1	8	735,1	251
735,9	7	735,9	290
736,7	4	736,7	248
737,5	7	737,5	286
738,3	8	738,3	261
739,1	9	739,1	306
739,9	8	739,9	293
740,8	9	740,8	280
741,6	8	741,6	285
742,4	10	742,4	286
743,2	9	743,2	314
744,0	8	744,0	250
744,8	4	744,8	251
745,6	5	745,6	268
746,4	10	746,4	277
747,3	10	747,3	304
748,1	12	748,1	304
748,9	10	748,9	273
749,7	9	749,7	296
750,5	8	750,5	321
751,3	5	751,3	299
752,1	4	752,1	286
753,0	9	753,0	298
753,8	9	753,8	273
754,6	10	754,6	284
755,4	5	755,4	295
756,2	9	756,2	298
757,0	7	757,0	311
757,8	6	757,8	283
758,6	10	758,6	293
759,5	7	759,5	317
760,3	3	760,3	308
761,1	5	761,1	323
761,9	4	761,9	329
762,7	6	762,7	311
763,5	7	763,5	306
764,3	6	764,3	305
765,2	4	765,2	317
766,0	11	766,0	309
766,8	10	766,8	296
767,6	11	767,6	324
768,4	8	768,4	278
769,2	5	769,2	307
770,0	12	770,0	322
770,8	6	770,8	295
771,7	4	771,7	278
772,5	5	772,5	283
773,3	5	773,3	283
774,1	7	774,1	288
774,9	6	774,9	291
775,7	8	775,7	313
776,5	4	776,5	291
777,3	7	777,3	267
778,2	7	778,2	302
779,0	7	779,0	281
779,8	5	779,8	280
780,6	6	780,6	293
781,4	8	781,4	265
782,2	6	782,2	267
783,0	8	783,0	268
783,9	6	783,9	289
784,7	3	784,7	266
785,5	6	785,5	260
786,3	7	786,3	275
787,1	5	787,1	296
787,9	1	787,9	285
788,7	11	788,7	325
789,5	3	789,5	254
790,4	3	790,4	245
791,2	6	791,2	253
792,0	5	792,0	257
792,8	4	792,8	238
793,6	6	793,6	245
794,4	13	794,4	275
795,2	4	795,2	244
796,1	8	796,1	260
796,9	7	796,9	238
797,7	4	797,7	249
798,5	12	798,5	258
799,3	7	799,3	238
800,1	4	800,1	248
800,9	3	800,9	244
801,7	6	801,7	248
802,6	7	802,6	275
803,4	4	803,4	241
804,2	5	804,2	237
805,0	4	805,0	242
805,8	6	805,8	232
806,6	8	806,6	249
807,4	8	807,4	251
808,3	6	808,3	238
809,1	8	809,1	207
809,9	8	809,9	240
810,7	5	810,7	215
811,5	2	811,5	237
812,3	4	812,3	229
813,1	13	813,1	234
813,9	3	813,9	222
814,8	3	814,8	234
815,6	7	815,6	248
816,4	4	816,4	204
817,2	5	817,2	198
818,0	7	818,0	211
818,8	8	818,8	205
819,6	6	819,6	226
820,4	3	820,4	212
821,3	6	821,3	240
822,1	6	822,1	222
822,9	7	822,9	219
823,7	3815	823,7	151506
